[2026-06-21T07:47:07.596Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/training_daily?select=player_id%2Cdaily_training_load%2Ctraining_date&daily_training_load=not.is.null&order=training_date.desc&limit=455 → 200 (375ms, 8301B)
[2026-06-21T07:47:07.596Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/training_daily?select=player_id&limit=5000 → 200 (139ms, 1337B)
[2026-06-21T07:47:07.652Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/acwr_daily?select=player_id%2Cacwr%2Cdata_sufficient&date=eq.2026-06-19 → 200 (134ms, 12165B)
[2026-06-21T07:47:07.666Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/training_daily?select=player_id%2Cdaily_training_load%2Ctraining_date&daily_training_load=not.is.null&order=training_date.desc&limit=455 → 200 (69ms, 8300B)
[2026-06-21T07:47:07.971Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/training_daily?select=player_id&limit=5000 → 200 (106ms, 1336B)
[2026-06-21T07:47:23.461Z] GET http://localhost:5173/ → 200 (17ms, ?B)
[2026-06-21T07:47:23.485Z] GET http://localhost:5173/@vite/client → 200 (7ms, ?B)
[2026-06-21T07:47:23.485Z] GET http://localhost:5173/src/main.tsx?t=1782027945688 → 200 (2ms, ?B)
[2026-06-21T07:47:23.486Z] GET http://localhost:5173/@react-refresh → 200 (7ms, ?B)
[2026-06-21T07:47:23.488Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=33ed930e → 200 (?ms, -263B)
[2026-06-21T07:47:23.489Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=33ed930e → 200 (?ms, -265B)
[2026-06-21T07:47:23.489Z] GET http://localhost:5173/src/index.css?t=1782027945688 → 200 (6ms, ?B)
[2026-06-21T07:47:23.489Z] GET http://localhost:5173/src/App.tsx?t=1782027942537 → 200 (6ms, ?B)
[2026-06-21T07:47:23.489Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=33ed930e → 200 (2ms, -263B)
[2026-06-21T07:47:23.491Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-B-1-B7_t.js?v=33ed930e → 200 (?ms, -261B)
[2026-06-21T07:47:23.491Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=33ed930e → 200 (?ms, -263B)
[2026-06-21T07:47:23.493Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (5ms, ?B)
[2026-06-21T07:47:23.495Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=33ed930e → 200 (?ms, -265B)
[2026-06-21T07:47:23.497Z] GET http://localhost:5173/src/components/TopNav.tsx?t=1782027746486 → 200 (1ms, ?B)
[2026-06-21T07:47:23.497Z] GET http://localhost:5173/src/components/Sidebar.tsx → 200 (1ms, ?B)
[2026-06-21T07:47:23.497Z] GET http://localhost:5173/src/pages/Dashboard.tsx?t=1782027942537 → 200 (1ms, ?B)
[2026-06-21T07:47:23.497Z] GET http://localhost:5173/src/pages/DailyReport.tsx → 200 (2ms, ?B)
[2026-06-21T07:47:23.497Z] GET http://localhost:5173/src/pages/WeeklyReport.tsx → 200 (2ms, ?B)
[2026-06-21T07:47:23.497Z] GET http://localhost:5173/src/pages/AcwrPage.tsx → 200 (2ms, ?B)
[2026-06-21T07:47:23.498Z] GET http://localhost:5173/src/pages/RpePage.tsx → 200 (2ms, ?B)
[2026-06-21T07:47:23.498Z] GET http://localhost:5173/src/pages/Upload.tsx → 200 (1ms, ?B)
[2026-06-21T07:47:23.498Z] GET http://localhost:5173/src/pages/PlayerProfile.tsx?t=1782027903667 → 200 (1ms, ?B)
[2026-06-21T07:47:23.498Z] GET http://localhost:5173/src/lib/api.ts?t=1782027554677 → 200 (2ms, ?B)
[2026-06-21T07:47:23.498Z] GET http://localhost:5173/src/utils/calculations.ts → 200 (3ms, ?B)
[2026-06-21T07:47:23.498Z] GET http://localhost:5173/node_modules/.vite/deps/recharts.js?v=33ed930e → 200 (?ms, -267B)
[2026-06-21T07:47:23.499Z] GET http://localhost:5173/src/components/StatCard.tsx → 200 (2ms, ?B)
[2026-06-21T07:47:23.500Z] GET http://localhost:5173/src/utils/csvParser.ts → 200 (1ms, ?B)
[2026-06-21T07:47:23.500Z] GET http://localhost:5173/src/lib/store.ts → 200 (1ms, ?B)
[2026-06-21T07:47:23.500Z] GET http://localhost:5173/src/lib/supabase.ts → 200 (1ms, ?B)
[2026-06-21T07:47:23.501Z] GET http://localhost:5173/node_modules/.vite/deps/papaparse.js?v=33ed930e → 200 (?ms, -263B)
[2026-06-21T07:47:23.501Z] GET http://localhost:5173/node_modules/.vite/deps/@supabase_supabase-js.js?v=33ed930e → 200 (?ms, -265B)
[2026-06-21T07:47:23.528Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/players?select=id%2Cname%2Cmaturity_status&order=name.asc → 200 (277ms, 2926B)
[2026-06-21T07:47:23.528Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/players?select=*&order=name.asc → 200 (277ms, 4560B)
[2026-06-21T07:47:23.528Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/training_daily?select=training_date%2Ctotal_distance%2Chsr_distance%2Csprint_distance%2Crpe&training_date=gte.2026-04-22&order=training_date.asc&limit=5000 → 200 (288ms, 11457B)
[2026-06-21T07:47:23.528Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/players?select=id%2Cname%2Cmaturity_status&order=name.asc → 200 (168ms, 2927B)
[2026-06-21T07:47:23.528Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/players?select=*&order=name.asc → 200 (170ms, 4560B)
[2026-06-21T07:47:23.528Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/training_daily?select=training_date%2Ctotal_distance%2Chsr_distance%2Csprint_distance%2Crpe&training_date=gte.2026-04-22&order=training_date.asc&limit=5000 → 200 (170ms, 11456B)
[2026-06-21T07:47:23.697Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/acwr_daily?select=date&order=date.desc&limit=1 → 200 (423ms, 782B)
[2026-06-21T07:47:23.699Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/acwr_daily?select=date&order=date.desc&limit=1 → 200 (106ms, 782B)
[2026-06-21T07:47:23.805Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/acwr_daily?select=date&order=date.desc&limit=1 → 200 (213ms, 784B)
[2026-06-21T07:47:23.805Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/acwr_daily?select=player_id%2Cacwr%2Cdata_sufficient&date=eq.2026-06-19 → 200 (109ms, 12163B)
[2026-06-21T07:47:23.805Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/acwr_daily?select=date&order=date.desc&limit=1 → 200 (109ms, 782B)
[2026-06-21T07:47:23.914Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/acwr_daily?select=*&date=eq.2026-06-19 → 200 (186ms, 30687B)
[2026-06-21T07:47:23.917Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/training_daily?select=player_id&limit=5000 → 200 (113ms, 1339B)
[2026-06-21T07:47:24.018Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/acwr_daily?select=player_id%2Cacwr%2Cdata_sufficient&date=eq.2026-06-19 → 200 (104ms, 12165B)
[2026-06-21T07:47:24.100Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/training_daily?select=player_id%2Cdaily_training_load%2Ctraining_date&daily_training_load=not.is.null&order=training_date.desc&limit=455 → 200 (113ms, 8298B)
[2026-06-21T07:47:24.120Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/acwr_daily?select=*&date=eq.2026-06-19 → 200 (125ms, 30689B)
[2026-06-21T07:47:24.127Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/training_daily?select=player_id&limit=5000 → 200 (118ms, 1337B)
[2026-06-21T07:47:24.379Z] GET https://ftockzbsceolvwztojpx.supabase.co/rest/v1/training_daily?select=player_id%2Cdaily_training_load%2Ctraining_date&daily_training_load=not.is.null&order=training_date.desc&limit=455 → pending (?ms, ?B)
[2026-06-21T07:47:43.312Z] GET http://localhost:5173/daily → 200 (12ms, 639B)
[2026-06-21T07:47:43.339Z] GET http://localhost:5173/@vite/client → 200 (4ms, ?B)
[2026-06-21T07:47:43.339Z] GET http://localhost:5173/src/main.tsx?t=1782027945688 → 200 (1ms, ?B)
[2026-06-21T07:47:43.339Z] GET http://localhost:5173/@react-refresh → 200 (5ms, ?B)
[2026-06-21T07:47:43.341Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=33ed930e → 200 (?ms, -263B)
[2026-06-21T07:47:43.341Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=33ed930e → 200 (?ms, -265B)
[2026-06-21T07:47:43.341Z] GET http://localhost:5173/src/index.css?t=1782027945688 → 200 (2ms, ?B)
[2026-06-21T07:47:43.341Z] GET http://localhost:5173/src/App.tsx?t=1782027942537 → 200 (2ms, ?B)
[2026-06-21T07:47:43.341Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=33ed930e → 200 (?ms, -263B)
[2026-06-21T07:47:43.342Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-B-1-B7_t.js?v=33ed930e → 200 (?ms, -261B)
[2026-06-21T07:47:43.342Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=33ed930e → 200 (?ms, -263B)
[2026-06-21T07:47:43.343Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (1ms, ?B)
